Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
72,tt1228705,2012-04-16,2012-04-16,,Iron Man 2,https://www.imdb.com/title/tt1228705/,movie,7,124,2010,"Action, Adventure, Sci-Fi",650493,2010-04-26,Jon Favreau
73,tt1075747,2012-04-16,2012-04-16,,Jonah Hex,https://www.imdb.com/title/tt1075747/,movie,4.7,81,2010,"Action, Drama, Fantasy, Thriller, Western",51653,2010-06-17,Jimmy Hayward
74,tt0113492,2012-04-16,2012-04-16,,Judge Dredd,https://www.imdb.com/title/tt0113492/,movie,5.5,96,1995,"Action, Crime, Sci-Fi, Thriller",102730,1995-06-30,Danny Cannon
75,tt1343727,2012-04-16,2012-04-16,,Dredd,https://www.imdb.com/title/tt1343727/,movie,7.1,95,2012,"Action, Crime, Sci-Fi",233791,2012-07-11,Pete Travis
76,tt0236348,2012-04-16,2012-04-16,,Josie and the Pussycats,https://www.imdb.com/title/tt0236348/,movie,5.4,98,2001,"Comedy, Music",20458,2001-04-06,"Deborah Kaplan, Harry Elfont"
77,tt1250777,2012-04-16,2012-04-16,,Kick-Ass,https://www.imdb.com/title/tt1250777/,movie,7.6,117,2010,"Action, Comedy",495329,2010-03-12,Matthew Vaughn
78,tt0311429,2012-04-16,2012-04-16,,The League of Extraordinary Gentlemen,https://www.imdb.com/title/tt0311429/,movie,5.8,110,2003,"Action, Adventure, Fantasy, Sci-Fi",156962,2003-07-11,Stephen Norrington
79,tt0290747,2012-04-16,2012-04-16,,Man-Thing,https://www.imdb.com/title/tt0290747/,movie,4.1,97,2005,"Action, Adventure, Horror, Romance, Sci-Fi",5548,2005-04-21,Brett Leonard
80,tt0110475,2012-04-16,2012-04-16,,The Mask,https://www.imdb.com/title/tt0110475/,movie,6.9,101,1994,"Comedy, Fantasy",313163,1994-07-28,Chuck Russell
81,tt0362165,2012-04-16,2012-04-16,,Son of the Mask,https://www.imdb.com/title/tt0362165/,movie,2.2,94,2005,"Comedy, Family, Fantasy",48771,2005-02-11,Lawrence Guterman
82,tt0243413,2012-04-16,2012-04-16,,Men in Black Alien Attack,https://www.imdb.com/title/tt0243413/,short,6.8,4,2000,"Action, Sci-Fi, Short",3474,2000-04-08,"Linda Hassani, David C. Cobb, Lyonal Coleman"
83,tt0120912,2012-04-16,2012-04-16,,Men in Black II,https://www.imdb.com/title/tt0120912/,movie,6.1,88,2002,"Action, Adventure, Comedy, Mystery, Sci-Fi",311795,2002-07-03,Barry Sonnenfeld
84,tt0119654,2012-04-16,2012-04-16,,Men in Black,https://www.imdb.com/title/tt0119654/,movie,7.3,98,1997,"Adventure, Comedy, Mystery, Sci-Fi",473547,1997-07-02,Barry Sonnenfeld
85,tt0110543,2012-04-16,2012-04-16,,Model by Day,https://www.imdb.com/title/tt0110543/,tvMovie,4.8,100,1994,"Action, Crime, Drama, Thriller",359,1994-03-21,Christian Duguay
86,tt0166276,2012-04-16,2012-04-16,,Monkeybone,https://www.imdb.com/title/tt0166276/,movie,4.7,93,2001,"Animation, Comedy, Fantasy",15799,2001-02-23,Henry Selick
87,tt0441022,2012-04-16,2012-04-16,,The Dead One,https://www.imdb.com/title/tt0441022/,movie,3.7,90,2007,"Drama, Fantasy, Horror, Thriller",602,2007-02-26,Brian Cox
88,tt0132347,2012-04-16,2012-04-16,,Mystery Men,https://www.imdb.com/title/tt0132347/,movie,6.1,121,1999,"Action, Comedy, Fantasy, Sci-Fi",58547,1999-07-22,Kinka Usher
89,tt0119781,2012-04-16,2012-04-16,,Nick Fury: Agent of Shield,https://www.imdb.com/title/tt0119781/,tvMovie,3.7,120,1998,"Action, Sci-Fi",2372,1998-05-26,Rod Hardy
90,tt0466391,2012-04-16,2012-04-16,,Painkiller Jane,https://www.imdb.com/title/tt0466391/,tvMovie,5.2,90,2005,"Action, Drama, Sci-Fi",954,2005-12-10,Sanford Bookstaver
91,tt0271124,2012-04-16,2012-04-16,,Power Pack,https://www.imdb.com/title/tt0271124/,tvMovie,4.9,27,1991,"Adventure, Family, Fantasy, Sci-Fi",90,,Rick Bennett
92,tt1245526,2012-04-16,2012-04-16,,RED,https://www.imdb.com/title/tt1245526/,movie,7.1,111,2010,"Action, Comedy, Crime, Thriller",270721,2010-09-29,Robert Schwentke
93,tt0278641,2012-04-16,2012-04-16,,Prehistoric Peeps,https://www.imdb.com/title/tt0278641/,short,,4,1905,"Short, Comedy",,1905-08-31,Lewin Fitzhamon
94,tt0089893,2012-04-16,2012-04-16,,Red Sonja,https://www.imdb.com/title/tt0089893/,movie,5.1,89,1985,"Action, Adventure, Fantasy",35672,1985-07-03,Richard Fleischer
95,tt0082198,2012-04-16,2012-04-16,,Conan the Barbarian,https://www.imdb.com/title/tt0082198/,movie,6.9,129,1982,"Adventure, Fantasy",127734,1982-04-02,John Milius
96,tt0087078,2012-04-16,2012-04-16,,Conan the Destroyer,https://www.imdb.com/title/tt0087078/,movie,5.9,103,1984,"Action, Adventure, Fantasy",71090,1984-06-29,Richard Fleischer
97,tt0119484,2012-04-16,2012-04-16,,Kull the Conqueror,https://www.imdb.com/title/tt0119484/,movie,4.8,95,1997,"Fantasy, Action, Adventure",7295,1997-08-29,John Nicolella
98,tt0110989,2012-04-16,2012-04-16,,Ri¢hie Ri¢h,https://www.imdb.com/title/tt0110989/,movie,5.3,95,1994,"Comedy, Family",57924,1994-12-21,Donald Petrie
99,tt0155110,2012-04-16,2012-04-16,,Ri¢hie Ri¢h's Christmas Wish,https://www.imdb.com/title/tt0155110/,video,4.2,84,1998,"Comedy, Family",1834,1998-11-03,John Murlowski
100,tt0257044,2012-04-16,2012-04-16,,Road to Perdition,https://www.imdb.com/title/tt0257044/,movie,7.7,117,2002,"Crime, Drama, Thriller",227525,2002-07-12,Sam Mendes
101,tt0102803,2012-04-16,2012-04-16,,The Rocketeer,https://www.imdb.com/title/tt0102803/,movie,6.4,108,1991,"Action, Adventure, Family, Sci-Fi",48516,1991-06-19,Joe Johnston
102,tt0088103,2012-04-16,2012-04-16,,Sheena,https://www.imdb.com/title/tt0088103/,movie,4.9,117,1984,"Adventure, Fantasy",3963,1984-08-17,John Guillermin
103,tt0078308,2012-04-16,2012-04-16,,Spider-Man Strikes Back,https://www.imdb.com/title/tt0078308/,tvMovie,5.4,90,1978,"Action, Family, Fantasy",707,1978-12-21,Ron Satlof
104,tt0062861,2012-04-16,2012-04-16,,Diabolik,https://www.imdb.com/title/tt0062861/,movie,6.5,105,1968,"Action, Comedy, Crime",5194,1968-01-26,Mario Bava
105,tt0077328,2012-04-16,2012-04-16,,Spider-Man: The Dragon's Challenge,https://www.imdb.com/title/tt0077328/,tvMovie,5.6,92,1979,"Action, Adventure, Crime, Sci-Fi",592,1979-07-06,Don McDougall
106,tt0145487,2012-04-16,2012-04-16,,Spider-Man,https://www.imdb.com/title/tt0145487/,movie,7.3,121,2002,"Action, Adventure, Sci-Fi",635891,2002-04-30,Sam Raimi
107,tt0316654,2012-04-16,2012-04-16,,Spider-Man 2,https://www.imdb.com/title/tt0316654/,movie,7.3,127,2004,"Action, Adventure, Sci-Fi",496771,2004-06-25,Sam Raimi
108,tt0413300,2012-04-16,2012-04-16,,Spider-Man 3,https://www.imdb.com/title/tt0413300/,movie,6.2,139,2007,"Action, Adventure, Sci-Fi",457866,2007-04-03,Sam Raimi
109,tt0094017,2012-04-16,2012-04-16,,The Spirit,https://www.imdb.com/title/tt0094017/,tvMovie,5.7,74,1987,Action,158,1987-07-31,Michael Schultz
110,tt0086393,2012-04-16,2012-04-16,,Superman III,https://www.imdb.com/title/tt0086393/,movie,5,125,1983,"Action, Adventure, Comedy, Sci-Fi",59366,1983-06-17,Richard Lester
